,index,PNW
0,365,147088.28689284177
1,366,136486.46966647348
2,367,147704.40611736666
3,368,140759.6140316164
4,369,132630.82961653787
5,370,128214.04238398906
6,371,131262.83582731246
7,372,126778.2059203829
8,373,129094.46617258826
9,374,138162.87680142946
10,375,138744.8475025431
11,376,144084.07246446385
12,377,146469.29351770427
13,378,182550.01074607545
14,379,247667.90133168476
15,380,318017.7581402643
16,381,361734.6456618119
17,382,420612.72548401996
18,383,420870.46473058255
19,384,407978.0540332388
20,385,346403.87579697085
21,386,319306.3253679593
22,387,289046.71442242933
23,388,287036.4564879808
24,389,294032.6346582895
25,390,296194.12298348115
26,391,329355.2478071882
27,392,323316.5508324975
28,393,312662.60913123615
29,394,304231.13807609404
30,395,306917.7245381274
31,396,324973.54016888654
32,397,305422.90895463
33,398,285178.3836880828
34,399,278474.44299926434
35,400,278326.2019117492
36,401,276561.7950563654
37,402,269678.1911341491
38,403,245678.67286230862
39,404,214743.97497053465
40,405,216152.84176761642
41,406,229863.58116373824
42,407,226537.8854444318
43,408,216516.66940925072
44,409,250420.68367791647
45,410,299966.95647943
46,411,295522.6893707097
47,412,305901.05897610664
48,413,307093.58630683355
49,414,312607.28521662496
50,415,323168.95771783276
51,416,316162.9876476997
52,417,309490.9069176656
53,418,318845.2596838954
54,419,302512.1118774706
55,420,298211.0308567066
56,421,298964.952993721
57,422,302738.3123958727
58,423,297761.9838205705
59,424,279407.2772552405
60,425,229085.6028354276
61,426,239742.30289844348
62,427,241383.71573104002
63,428,246441.03864113122
64,429,248993.12509675944
65,430,249096.5896681447
66,431,239018.6069482208
67,432,231084.71881944707
68,433,230494.55318344446
69,434,220013.4266460511
70,435,227047.26107298885
71,436,242690.2891657686
72,437,244079.64180834946
73,438,235663.79375189915
74,439,244999.81157305883
75,440,277460.1547582584
76,441,280668.77838785783
77,442,297140.4306013851
78,443,292405.18093830853
79,444,283338.7803953507
80,445,255965.11671071535
81,446,248349.8403323727
82,447,238756.1148102404
83,448,232320.5663802362
84,449,237837.8388880585
85,450,240214.48004350677
86,451,266165.70961279457
87,452,291313.8643662701
88,453,313761.5753820995
89,454,333284.60687318817
90,455,313465.9984932562
91,456,249766.81005387125
92,457,233873.01294774856
93,458,219859.7687309223
94,459,196251.1712866827
95,460,206132.18076554837
96,461,203952.69074168196
97,462,204419.396949584
98,463,206993.2648436761
99,464,201512.45222707372
100,465,210174.7442794852
101,466,228271.63368407023
102,467,233156.051724126
103,468,234092.52563580425
104,469,226344.4789371232
105,470,199459.0658162871
106,471,203652.23722722806
107,472,208136.94653957692
108,473,219092.38155000578
109,474,229645.70356062398
110,475,233661.68134521088
111,476,244439.97357620875
112,477,249453.2355176148
113,478,253155.33659416443
114,479,281582.6181113152
115,480,320675.437615101
116,481,341116.7361982089
117,482,356113.52002526075
118,483,389004.93082289596
119,484,363077.8634568397
120,485,216784.4654650988
121,486,135069.08558049926
122,487,166192.43814734512
123,488,126303.67067314242
124,489,146471.29498732372
125,490,141357.7680439289
