,CAISO 24H EV Load,PNW 24H EV Load
Hour 1,329.1468531266821,88.75659882689112
Hour 2,209.83111886825984,56.582331752143084
Hour 3,153.25900348711133,41.32729132877117
Hour 4,92.98398600828769,25.073739168596738
Hour 5,40.21763111641647,10.844946919160758
Hour 6,14.91446678230278,4.021783384343503
Hour 7,14.605891607496515,3.9385740729432928
Hour 8,14.400174824292343,3.8831011986764863
Hour 9,14.194458041088167,3.8276283244096794
Hour 10,0.0,0.0
Hour 11,0.0,0.0
Hour 12,13.474449299873548,3.633473264475855
Hour 13,24.686013984501155,6.656744912016833
Hour 14,40.42334789962064,10.900419793427563
Hour 15,92.57255244187934,24.962793420063125
Hour 16,204.58534089655333,55.16777345833951
Hour 17,382.63321675976795,103.17954613626092
Hour 18,464.6113548666321,125.28548653158346
Hour 19,583.3099387754419,157.2933349835311
Hour 20,624.3504370246751,168.36017339975908
Hour 21,612.624580382037,165.1982195665511
Hour 22,580.3270454189815,156.4889783066624
Hour 23,525.2978059118642,141.64998444029152
Hour 24,426.7594667570637,115.07847766649101
