,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,7057.759914388533,17247.214064239146,2524.5468792156657,11850.026160774269,5492.773266526456,5259.168298893122
1,6830.437759476479,16856.744199607296,2325.753985201949,11111.141172620208,5039.088321780442,5062.052308740906
2,6724.739286741396,16788.814782814487,2182.1217902654616,10548.712332570598,4792.9723857501995,4867.365591936511
3,6707.89700752766,16953.400580425783,2083.9138647342334,10029.846669307795,4629.880381611405,4725.676469676144
4,6792.984794957066,17520.839416581628,2024.9624281072247,9797.33263816167,4447.101349705322,4686.6721994156205
5,7034.635163166201,18814.24656747277,2019.367938999904,9768.897359168634,4413.215766197818,4672.109235193639
6,7316.942229633442,21307.043335424325,2081.1674921999725,9960.256835282618,4511.399334490826,4721.365860969338
7,7608.34582873105,22894.867790421053,2185.3841088587137,10041.746353131757,4704.23377894868,5092.754538200835
8,7835.403352171,22981.144020227795,2267.213591429285,9962.817560507461,4933.816170248922,5301.645105719787
9,7918.87329228766,22603.313873205494,2335.387933494751,10101.154073841562,5031.050168507399,5431.4161818039
10,7855.277218339698,22119.7065582136,2374.720217784011,10291.094038950921,5207.625061420525,5460.179058557363
11,7705.196148619868,21493.884439767327,2388.9636084695053,10478.266683866872,5210.100459822527,5365.554679840643
12,7505.524918731738,20853.898017816613,2382.699725366917,10556.666021656269,5153.856109284283,5311.673265780614
13,7363.3876419366525,20311.910076930075,2377.958958593104,10545.153744690357,5067.024879450147,5169.549139062256
14,7270.494666608785,19937.285091288293,2385.798996932377,10470.612897873252,5042.709596609048,5290.471242491323
15,7420.442207318269,20301.379939552822,2424.3338154190183,10603.440059140266,5059.999451417284,5371.340260220893
16,7987.309169909562,22121.26113210939,2524.9053925385824,10838.463615730734,5461.547489842708,5521.904370037214
17,8490.647077159201,24083.248391777688,2755.480435159329,11508.8273806999,5997.769346464281,5813.611648097599
18,8639.293489100593,24334.116324729297,3154.672007573944,13277.131469686881,6851.400059308459,6413.818794930175
19,8578.824366114755,23978.42349563158,3324.59355040016,13757.142885341666,7115.647715660016,6445.533652453594
20,8391.852185252043,23175.601472536673,3293.521641356995,13653.412019916432,7069.284972741977,6374.099527049427
21,8066.192277733134,21622.31016722567,3199.3556509390837,13432.495843074983,6833.554233577654,6129.437838925661
22,7595.509432487424,19764.851728262453,2993.1009752207847,13039.094089070844,6343.644611999306,5855.38632119023
23,7132.7099224878875,18320.721239655497,2714.3881327962,12231.94128622365,5865.626710071881,5458.84650126976
24,6500.128854212494,17160.530259028885,2296.212693621485,10514.872102907728,5647.431542100601,4916.590020489454
25,6293.044917443731,16789.609941233048,2086.260234853328,9871.111294424183,5332.105110811609,4694.881932252903
26,6255.308131752673,16750.196931772894,1971.6276130076797,9430.467662529842,4992.980902955884,4517.804804843806
27,6290.279332962613,16938.276786760358,1905.1372509788816,9094.606610683757,4899.203669137733,4331.668645024698
28,6454.973524889875,17559.193163789285,1867.4794352182325,8990.969535127952,4724.5212988936,4317.921503268203
29,6816.704885715579,19052.83601005587,1882.258975383526,9122.358879264657,4708.342807449729,4387.4741706432915
30,7241.99235038778,21909.727057112006,1968.4062100951085,9513.658540620592,4869.713497329809,4600.672653758046
31,7631.955791583286,23550.84137173639,2099.5020845572417,9903.32876133251,5236.797938704535,5046.242303327567
32,7843.7430869240225,23399.471377051832,2193.806363083096,10145.218363288663,5432.90366484068,5209.730329488986
33,7870.690609953231,22731.764145242723,2275.6816566067614,10514.86945715708,5550.628384876241,5358.574079909172
34,7741.905031276356,21996.866608841192,2316.81890638426,10768.694893647798,5813.094104934173,5401.727515488652
35,7551.05539179933,21324.19029135088,2323.105013032257,11007.583804080945,5857.603844640481,5258.549052673651
36,7320.3664157541,20661.558395993514,2309.7091508078684,11048.016105643832,5804.805563729698,5208.318243121267
37,7131.384634356293,20130.056125291994,2298.16361624171,10981.236799140866,5692.229060242503,5121.982727817626
38,7046.6610373827425,19810.383717282934,2299.9484971040424,10899.120181652883,5657.727361253219,5208.083658784976
39,7218.071606906728,20294.098167706547,2333.3118301580953,11007.247370938989,5775.190153261773,5224.072338827293
40,7746.018494072175,22177.058305720027,2427.2818351599417,11248.019594031955,5951.828312065751,5537.847337550597
41,8233.750269940248,24151.194329083133,2647.9126094629773,11801.98173702736,6622.17295408888,5740.409977251126
42,8365.049794927085,24357.29878420586,3008.247758765327,13403.048574209983,7568.106420665861,6396.501368092349
43,8293.931627580754,24010.11820438085,3138.778616238651,13602.444963817277,7737.876753891352,6382.846162555225
44,8087.914673852784,23237.983471323885,3076.8345772989037,13457.779097040568,7606.389485433505,6253.13296157326
45,7739.273066156803,21711.313298008983,2977.51362977885,13266.369011796534,7369.957203555079,5950.789046492269
46,7240.361064957128,19647.709357124233,2829.0830941338263,12681.279746452514,6907.302332815221,5628.2579556775945
47,6768.735116803233,18160.85489543087,2574.1728803342835,11837.623523740305,6350.1413490612995,5219.697256423949
48,6001.147319136237,16881.923216864256,2255.254305833471,10915.784201056029,5870.131944776974,4741.631875328217
49,5794.292853669212,16511.834817908333,2012.3019449483616,9772.421217083456,5308.972987873989,4538.239303271618
50,5743.260044371879,16507.524263831692,1895.3126216035528,9307.911261888341,4975.655003636364,4413.4564354479
51,5762.787237145292,16725.281421545595,1825.8000339277655,8960.362759297977,4845.518835688799,4354.561062906388
52,5909.4726466406255,17332.088264402362,1793.0256151655722,8849.320376145812,4683.984732921757,4356.8774536095225
53,6295.941129723169,19041.001379614936,1817.3725418238193,9007.85230335849,4712.660361321973,4432.536049459628
54,6825.638476096251,22089.821539101966,1916.5514843694996,9536.687088154034,4973.092184732938,4670.484255235178
