,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,6622.424092209028,16860.104186197208,2337.265540918817,12231.968195002491,6178.000897766907,5352.304098792094
1,6401.725052698522,16477.117424011463,2150.6191959158623,11475.271067330024,5679.858219122588,5153.1854044212305
2,6299.031717959267,16412.171373390567,2016.5883898460916,10897.202723521861,5408.550244753281,4955.6683625051655
3,6279.179746569589,16572.550028510712,1924.3440693625769,10364.400187642445,5231.766993811801,4812.185105741497
4,6355.158098430317,17128.136179284855,1868.5105932589504,10127.205819710201,5031.695882106936,4773.190118402097
5,6579.414061624745,18397.617377987415,1862.6468489705176,10099.343582432144,4996.649661607197,4758.708541499166
6,6843.390908993841,20856.048978528972,1919.6288994318838,10297.2125559679,5107.897631533226,4808.884636821184
7,7115.881327126784,22415.870516077397,2015.730208862744,10381.478627691211,5326.3380644896115,5187.176495707336
8,7328.198878614681,22488.29941871252,2091.186431062517,10299.885139441161,5586.400943628089,5399.951065646479
9,7405.289316025926,22107.431743955432,2153.660554124729,10443.776430287076,5698.403118354933,5532.330703078333
10,7345.817809213625,21630.572500880702,2189.9322107358166,10640.158993732548,5898.400114349481,5561.627987772725
11,7206.387352726924,21018.144245480584,2203.44246467418,10832.861599720305,5899.428348531299,5465.058080871661
12,7020.428939665011,20394.86426614411,2197.9781990555807,10913.238906378843,5834.246022725815,5410.019610428936
13,6888.581076314607,19866.14847857833,2194.044552945636,10900.379867100599,5733.823207280264,5265.035944172069
14,6805.261747286595,19503.241663891815,2202.726660913955,10820.14182381479,5699.410917465365,5387.479364539311
15,6953.107355253847,19863.558148972817,2241.3819985967525,10950.667932500364,5704.234376412527,5468.292826343758
16,7495.326799833934,21648.972730933463,2339.085530417359,11182.844240654042,6135.585262430301,5619.177759563522
17,7971.599394076859,23575.00088752663,2554.0012100148056,11870.964776308641,6732.133061063303,5915.164588734257
18,8118.683259960399,23824.687281338855,2925.4350966307957,13692.035505953352,7683.354374967847,6524.872369545048
19,8064.928910213902,23477.9299515196,3083.277063127134,14185.83467361288,7977.2457747057815,6556.605613727506
20,7889.284936890792,22691.62871596752,3054.296487053239,14079.29786678806,7926.278267325923,6484.007363210173
21,7582.547921518003,21167.144710859095,2966.5586369906737,13852.850958600415,7663.534410298764,6235.249169447909
22,7138.646527139051,19344.871646793013,2774.8212588540405,13449.449199983592,7115.890982720958,5956.8712847906545
23,6699.156181810626,17929.101386004968,2515.0524721572697,12620.90613855163,6587.449835114445,5554.334498546797
24,5975.435211997025,16680.65527050861,2222.8056156413136,10380.526195540237,5505.963601539192,4252.964009646922
25,5775.331786937606,16317.836713353629,2018.4892105997822,9742.585940330117,5195.8699682771785,4050.0671847126437
26,5735.7513860081335,16276.667175950715,1907.0372192943857,9306.534968032227,4864.268605137097,3892.134184537814
27,5762.349352782944,16455.535581282405,1842.0605734952055,8973.758467058375,4771.392778845444,3726.0355030855003
28,5908.283083457865,17055.089764101398,1805.0354391929602,8870.244678552825,4599.961365733755,3708.628356588451
29,6236.913247363108,18508.63177205952,1819.0118304562773,8999.241987555675,4583.544705923809,3765.605837243983
30,6625.917244145559,21310.52646857276,1902.2524174688324,9385.237606967843,4740.616494256568,3948.4762363195696
31,6982.617800651866,22909.865115358,2028.9282380441255,9769.628335741967,5097.934944206252,4330.70907142823
32,7176.331772894938,22742.67518135077,2120.052239072629,10008.23877669336,5288.820901617323,4470.943754152833
33,7199.712240686884,22076.364870156533,2198.997394454292,10372.542142463197,5403.040465954095,4597.126927607344
