Scenario,State,Energy,Type,Year,Capacity
MID,CA,Land-based Wind,WIND,2020,6.44818781733642
MID,CA,Land-based Wind,WIND,2022,6.47867251743096
MID,CA,Land-based Wind,WIND,2024,6.30547251743096
MID,CA,Land-based Wind,WIND,2026,6.3564674227875
MID,CA,Land-based Wind,WIND,2028,6.33649458861044
MID,CA,Land-based Wind,WIND,2030,6.87968438672703
MID,CA,Land-based Wind,WIND,2032,6.86856491011946
MID,CA,Land-based Wind,WIND,2034,6.55017025659181
MID,CA,Land-based Wind,WIND,2036,6.59165035834181
MID,CA,Land-based Wind,WIND,2038,6.73856583432548
MID,CA,Land-based Wind,WIND,2040,6.98227753466681
MID,CA,Land-based Wind,WIND,2042,5.82393948402027
MID,CA,Land-based Wind,WIND,2044,5.89763333009049
MID,CA,Land-based Wind,WIND,2046,5.51182958871196
MID,CA,Land-based Wind,WIND,2048,6.13827750776589
MID,CA,Land-based Wind,WIND,2050,7.1074479643455
MID,CA,Offshore Wind,WIND,2020,0
MID,CA,Offshore Wind,WIND,2022,0
MID,CA,Offshore Wind,WIND,2024,0
MID,CA,Offshore Wind,WIND,2026,0
MID,CA,Offshore Wind,WIND,2028,0
MID,CA,Offshore Wind,WIND,2030,0
MID,CA,Offshore Wind,WIND,2032,0
MID,CA,Offshore Wind,WIND,2034,0
MID,CA,Offshore Wind,WIND,2036,0
MID,CA,Offshore Wind,WIND,2038,0
MID,CA,Offshore Wind,WIND,2040,0
MID,CA,Offshore Wind,WIND,2042,0
MID,CA,Offshore Wind,WIND,2044,0
MID,CA,Offshore Wind,WIND,2046,0
MID,CA,Offshore Wind,WIND,2048,0
MID,CA,Offshore Wind,WIND,2050,0
MID,CA,CSP,SOLAR,2020,1.383187
MID,CA,CSP,SOLAR,2022,1.383187
MID,CA,CSP,SOLAR,2024,1.383187
MID,CA,CSP,SOLAR,2026,1.383187
MID,CA,CSP,SOLAR,2028,1.383187
MID,CA,CSP,SOLAR,2030,1.383187
MID,CA,CSP,SOLAR,2032,1.383187
MID,CA,CSP,SOLAR,2034,1.383187
MID,CA,CSP,SOLAR,2036,1.383187
MID,CA,CSP,SOLAR,2038,1.383187
MID,CA,CSP,SOLAR,2040,1.383187
MID,CA,CSP,SOLAR,2042,1.35314
MID,CA,CSP,SOLAR,2044,0.41764
MID,CA,CSP,SOLAR,2046,0.41764
MID,CA,CSP,SOLAR,2048,0.41764
MID,CA,CSP,SOLAR,2050,0.41764
MID,CA,Utility PV,SOLAR,2020,11.5704223076923
MID,CA,Utility PV,SOLAR,2022,15.6462041540923
MID,CA,Utility PV,SOLAR,2024,18.3389680184695
MID,CA,Utility PV,SOLAR,2026,19.1317561157639
MID,CA,Utility PV,SOLAR,2028,21.021325704755
MID,CA,Utility PV,SOLAR,2030,27.1974126590419
MID,CA,Utility PV,SOLAR,2032,28.8299530098653
MID,CA,Utility PV,SOLAR,2034,30.3388604793439
MID,CA,Utility PV,SOLAR,2036,31.538674279623
MID,CA,Utility PV,SOLAR,2038,32.4484357429833
MID,CA,Utility PV,SOLAR,2040,33.4697587692578
MID,CA,Utility PV,SOLAR,2042,37.7012488414603
MID,CA,Utility PV,SOLAR,2044,38.1382638627235
MID,CA,Utility PV,SOLAR,2046,38.6759797259526
MID,CA,Utility PV,SOLAR,2048,39.5363799589526
MID,CA,Utility PV,SOLAR,2050,43.5129879587283
MID,CA,Rooftop PV,SOLAR,2020,7.09626181818182
MID,CA,Rooftop PV,SOLAR,2022,7.58907818181818
MID,CA,Rooftop PV,SOLAR,2024,7.93829272727273
MID,CA,Rooftop PV,SOLAR,2026,8.31397454545454
MID,CA,Rooftop PV,SOLAR,2028,8.73472727272727
MID,CA,Rooftop PV,SOLAR,2030,9.21964272727273
MID,CA,Rooftop PV,SOLAR,2032,9.59919545454545
MID,CA,Rooftop PV,SOLAR,2034,9.90462181818182
MID,CA,Rooftop PV,SOLAR,2036,10.1926481818182
MID,CA,Rooftop PV,SOLAR,2038,10.4339872727273
MID,CA,Rooftop PV,SOLAR,2040,10.6435909090909
