,Generator,Time,Value,Zones
0,battery1,1,0.0,PGE_valley
1,battery1,2,0.0,PGE_valley
2,battery1,3,0.0,PGE_valley
3,battery1,4,0.0,PGE_valley
4,battery1,5,0.0,PGE_valley
5,battery1,6,0.0,PGE_valley
6,battery1,7,0.0,PGE_valley
7,battery1,8,0.0,PGE_valley
8,battery1,9,0.0,PGE_valley
9,battery1,10,0.0,PGE_valley
10,battery1,11,22.735601888222845,PGE_valley
11,battery1,12,0.0,PGE_valley
12,battery1,13,0.0,PGE_valley
13,battery1,14,0.0,PGE_valley
14,battery1,15,0.0,PGE_valley
15,battery1,16,0.0,PGE_valley
16,battery1,17,0.0,PGE_valley
17,battery1,18,0.0,PGE_valley
18,battery1,19,0.0,PGE_valley
19,battery1,20,0.0,PGE_valley
20,battery1,21,0.0,PGE_valley
21,battery1,22,0.0,PGE_valley
22,battery1,23,0.0,PGE_valley
23,battery1,24,0.0,PGE_valley
24,battery2,1,0.0,PGE_bay
25,battery2,2,0.0,PGE_bay
26,battery2,3,0.0,PGE_bay
27,battery2,4,0.0,PGE_bay
28,battery2,5,0.0,PGE_bay
29,battery2,6,0.0,PGE_bay
30,battery2,7,0.0,PGE_bay
31,battery2,8,0.0,PGE_bay
32,battery2,9,0.0,PGE_bay
33,battery2,10,0.0,PGE_bay
34,battery2,11,0.0,PGE_bay
35,battery2,12,0.0,PGE_bay
36,battery2,13,0.0,PGE_bay
37,battery2,14,0.0,PGE_bay
38,battery2,15,0.0,PGE_bay
39,battery2,16,0.0,PGE_bay
40,battery2,17,0.0,PGE_bay
41,battery2,18,0.0,PGE_bay
42,battery2,19,0.0,PGE_bay
43,battery2,20,0.0,PGE_bay
44,battery2,21,0.0,PGE_bay
45,battery2,22,0.0,PGE_bay
46,battery2,23,0.0,PGE_bay
47,battery2,24,0.0,PGE_bay
48,battery3,1,0.0,SCE
49,battery3,2,0.0,SCE
50,battery3,3,0.0,SCE
51,battery3,4,0.0,SCE
52,battery3,5,0.0,SCE
53,battery3,6,0.0,SCE
54,battery3,7,0.0,SCE
55,battery3,8,0.0,SCE
56,battery3,9,0.0,SCE
57,battery3,10,200.0,SCE
58,battery3,11,200.0,SCE
59,battery3,12,200.0,SCE
60,battery3,13,200.0,SCE
61,battery3,14,200.0,SCE
62,battery3,15,176.47058823529412,SCE
63,battery3,16,0.0,SCE
64,battery3,17,0.0,SCE
65,battery3,18,0.0,SCE
66,battery3,19,0.0,SCE
67,battery3,20,0.0,SCE
68,battery3,21,0.0,SCE
69,battery3,22,0.0,SCE
70,battery3,23,0.0,SCE
71,battery3,24,0.0,SCE
72,battery4,1,0.0,SDGE
73,battery4,2,0.0,SDGE
74,battery4,3,0.0,SDGE
75,battery4,4,0.0,SDGE
76,battery4,5,0.0,SDGE
77,battery4,6,0.0,SDGE
78,battery4,7,0.0,SDGE
79,battery4,8,0.0,SDGE
80,battery4,9,0.0,SDGE
81,battery4,10,200.0,SDGE
82,battery4,11,200.0,SDGE
83,battery4,12,200.0,SDGE
84,battery4,13,200.0,SDGE
85,battery4,14,200.0,SDGE
86,battery4,15,176.47058823529412,SDGE
87,battery4,16,0.0,SDGE
88,battery4,17,0.0,SDGE
89,battery4,18,0.0,SDGE
90,battery4,19,0.0,SDGE
91,battery4,20,0.0,SDGE
92,battery4,21,0.0,SDGE
93,battery4,22,0.0,SDGE
94,battery4,23,0.0,SDGE
95,battery4,24,0.0,SDGE
96,battery1,25,0.0,PGE_valley
97,battery1,26,0.0,PGE_valley
98,battery1,27,0.0,PGE_valley
99,battery1,28,0.0,PGE_valley
100,battery1,29,0.0,PGE_valley
101,battery1,30,0.0,PGE_valley
102,battery1,31,0.0,PGE_valley
103,battery1,32,0.0,PGE_valley
104,battery1,33,0.0,PGE_valley
105,battery1,34,0.0,PGE_valley
106,battery1,35,0.0,PGE_valley
107,battery1,36,0.0,PGE_valley
108,battery1,37,0.0,PGE_valley
109,battery1,38,0.0,PGE_valley
110,battery1,39,0.0,PGE_valley
111,battery1,40,0.0,PGE_valley
112,battery1,41,0.0,PGE_valley
113,battery1,42,0.0,PGE_valley
114,battery1,43,0.0,PGE_valley
115,battery1,44,0.0,PGE_valley
116,battery1,45,0.0,PGE_valley
117,battery1,46,0.0,PGE_valley
118,battery1,47,0.0,PGE_valley
119,battery1,48,0.0,PGE_valley
120,battery2,25,0.0,PGE_bay
121,battery2,26,0.0,PGE_bay
122,battery2,27,0.0,PGE_bay
123,battery2,28,0.0,PGE_bay
124,battery2,29,0.0,PGE_bay
125,battery2,30,0.0,PGE_bay
126,battery2,31,0.0,PGE_bay
127,battery2,32,0.0,PGE_bay
128,battery2,33,0.0,PGE_bay
129,battery2,34,0.0,PGE_bay
130,battery2,35,0.0,PGE_bay
131,battery2,36,0.0,PGE_bay
132,battery2,37,0.0,PGE_bay
133,battery2,38,0.0,PGE_bay
134,battery2,39,0.0,PGE_bay
135,battery2,40,0.0,PGE_bay
136,battery2,41,0.0,PGE_bay
137,battery2,42,0.0,PGE_bay
138,battery2,43,0.0,PGE_bay
139,battery2,44,0.0,PGE_bay
140,battery2,45,0.0,PGE_bay
141,battery2,46,0.0,PGE_bay
142,battery2,47,0.0,PGE_bay
143,battery2,48,0.0,PGE_bay
144,battery3,25,0.0,SCE
145,battery3,26,0.0,SCE
146,battery3,27,0.0,SCE
147,battery3,28,0.0,SCE
148,battery3,29,0.0,SCE
149,battery3,30,0.0,SCE
150,battery3,31,0.0,SCE
151,battery3,32,0.0,SCE
152,battery3,33,0.0,SCE
153,battery3,34,200.0,SCE
154,battery3,35,200.0,SCE
155,battery3,36,200.0,SCE
156,battery3,37,200.0,SCE
157,battery3,38,200.0,SCE
158,battery3,39,176.47058823529414,SCE
159,battery3,40,0.0,SCE
160,battery3,41,0.0,SCE
161,battery3,42,0.0,SCE
162,battery3,43,0.0,SCE
163,battery3,44,0.0,SCE
164,battery3,45,0.0,SCE
165,battery3,46,0.0,SCE
166,battery3,47,0.0,SCE
167,battery3,48,0.0,SCE
168,battery4,25,0.0,SDGE
169,battery4,26,0.0,SDGE
170,battery4,27,0.0,SDGE
171,battery4,28,0.0,SDGE
172,battery4,29,0.0,SDGE
173,battery4,30,0.0,SDGE
174,battery4,31,0.0,SDGE
175,battery4,32,0.0,SDGE
176,battery4,33,0.0,SDGE
177,battery4,34,200.0,SDGE
178,battery4,35,200.0,SDGE
179,battery4,36,200.0,SDGE
180,battery4,37,200.0,SDGE
181,battery4,38,200.0,SDGE
182,battery4,39,176.47058823529414,SDGE
183,battery4,40,0.0,SDGE
184,battery4,41,0.0,SDGE
185,battery4,42,0.0,SDGE
186,battery4,43,0.0,SDGE
187,battery4,44,0.0,SDGE
188,battery4,45,0.0,SDGE
189,battery4,46,0.0,SDGE
190,battery4,47,0.0,SDGE
191,battery4,48,0.0,SDGE
192,battery1,49,0.0,PGE_valley
193,battery1,50,0.0,PGE_valley
194,battery1,51,0.0,PGE_valley
195,battery1,52,0.0,PGE_valley
196,battery1,53,0.0,PGE_valley
