,Generator,Time,Value,Zones,Type,$/MWh
0,UNVRSY_1_UNIT1,1,0.0,PGE_valley,Gas,34.4374
1,UNVRSY_1_UNIT1,2,0.0,PGE_valley,Gas,34.4374
2,UNVRSY_1_UNIT1,3,0.0,PGE_valley,Gas,34.4374
3,UNVRSY_1_UNIT1,4,0.0,PGE_valley,Gas,34.4374
4,UNVRSY_1_UNIT1,5,0.0,PGE_valley,Gas,34.4374
5,UNVRSY_1_UNIT1,6,0.0,PGE_valley,Gas,34.4374
6,UNVRSY_1_UNIT1,7,0.0,PGE_valley,Gas,34.4374
7,UNVRSY_1_UNIT1,8,0.0,PGE_valley,Gas,34.4374
8,UNVRSY_1_UNIT1,9,0.0,PGE_valley,Gas,34.4374
9,UNVRSY_1_UNIT1,10,0.0,PGE_valley,Gas,34.4374
10,UNVRSY_1_UNIT1,11,0.0,PGE_valley,Gas,34.4374
11,UNVRSY_1_UNIT1,12,0.0,PGE_valley,Gas,34.4374
12,UNVRSY_1_UNIT1,13,0.0,PGE_valley,Gas,34.4374
13,UNVRSY_1_UNIT1,14,0.0,PGE_valley,Gas,34.4374
14,UNVRSY_1_UNIT1,15,0.0,PGE_valley,Gas,34.4374
15,UNVRSY_1_UNIT1,16,0.0,PGE_valley,Gas,34.4374
16,UNVRSY_1_UNIT1,17,0.0,PGE_valley,Gas,34.4374
17,UNVRSY_1_UNIT1,18,0.0,PGE_valley,Gas,34.4374
18,UNVRSY_1_UNIT1,19,0.0,PGE_valley,Gas,34.4374
19,UNVRSY_1_UNIT1,20,0.0,PGE_valley,Gas,34.4374
20,UNVRSY_1_UNIT1,21,0.0,PGE_valley,Gas,34.4374
21,UNVRSY_1_UNIT1,22,0.0,PGE_valley,Gas,34.4374
22,UNVRSY_1_UNIT1,23,0.0,PGE_valley,Gas,34.4374
23,UNVRSY_1_UNIT1,24,0.0,PGE_valley,Gas,34.4374
24,MIDSET_1_UNIT1,1,0.0,PGE_valley,Gas,33.924800000000005
25,MIDSET_1_UNIT1,2,0.0,PGE_valley,Gas,33.924800000000005
26,MIDSET_1_UNIT1,3,0.0,PGE_valley,Gas,33.924800000000005
27,MIDSET_1_UNIT1,4,0.0,PGE_valley,Gas,33.924800000000005
28,MIDSET_1_UNIT1,5,0.0,PGE_valley,Gas,33.924800000000005
29,MIDSET_1_UNIT1,6,0.0,PGE_valley,Gas,33.924800000000005
