,Generator,Time,Value,Zones
0,UNVRSY_1_UNIT1,1,0.0,PGE_valley
1,UNVRSY_1_UNIT1,2,0.0,PGE_valley
2,UNVRSY_1_UNIT1,3,0.0,PGE_valley
3,UNVRSY_1_UNIT1,4,0.0,PGE_valley
4,UNVRSY_1_UNIT1,5,0.0,PGE_valley
5,UNVRSY_1_UNIT1,6,0.0,PGE_valley
6,UNVRSY_1_UNIT1,7,0.0,PGE_valley
7,UNVRSY_1_UNIT1,8,0.0,PGE_valley
8,UNVRSY_1_UNIT1,9,0.0,PGE_valley
9,UNVRSY_1_UNIT1,10,0.0,PGE_valley
10,UNVRSY_1_UNIT1,11,0.0,PGE_valley
11,UNVRSY_1_UNIT1,12,0.0,PGE_valley
12,UNVRSY_1_UNIT1,13,0.0,PGE_valley
13,UNVRSY_1_UNIT1,14,0.0,PGE_valley
14,UNVRSY_1_UNIT1,15,0.0,PGE_valley
15,UNVRSY_1_UNIT1,16,0.0,PGE_valley
16,UNVRSY_1_UNIT1,17,0.0,PGE_valley
17,UNVRSY_1_UNIT1,18,0.0,PGE_valley
18,UNVRSY_1_UNIT1,19,0.0,PGE_valley
19,UNVRSY_1_UNIT1,20,0.0,PGE_valley
20,UNVRSY_1_UNIT1,21,0.0,PGE_valley
21,UNVRSY_1_UNIT1,22,0.0,PGE_valley
22,UNVRSY_1_UNIT1,23,0.0,PGE_valley
23,UNVRSY_1_UNIT1,24,0.0,PGE_valley
24,MIDSET_1_UNIT1,1,0.0,PGE_valley
25,MIDSET_1_UNIT1,2,0.0,PGE_valley
26,MIDSET_1_UNIT1,3,0.0,PGE_valley
27,MIDSET_1_UNIT1,4,0.0,PGE_valley
28,MIDSET_1_UNIT1,5,0.0,PGE_valley
29,MIDSET_1_UNIT1,6,0.0,PGE_valley
30,MIDSET_1_UNIT1,7,0.0,PGE_valley
31,MIDSET_1_UNIT1,8,0.0,PGE_valley
32,MIDSET_1_UNIT1,9,0.0,PGE_valley
33,MIDSET_1_UNIT1,10,0.0,PGE_valley
34,MIDSET_1_UNIT1,11,0.0,PGE_valley
35,MIDSET_1_UNIT1,12,0.0,PGE_valley
36,MIDSET_1_UNIT1,13,0.0,PGE_valley
37,MIDSET_1_UNIT1,14,0.0,PGE_valley
38,MIDSET_1_UNIT1,15,0.0,PGE_valley
39,MIDSET_1_UNIT1,16,0.0,PGE_valley
