,Generator,Time,Value,Zones
0,battery1,97,0.0,PGE_valley
1,battery1,98,0.0,PGE_valley
2,battery1,99,0.0,PGE_valley
3,battery1,100,0.0,PGE_valley
4,battery1,101,0.0,PGE_valley
5,battery1,102,0.0,PGE_valley
6,battery1,103,0.0,PGE_valley
7,battery1,104,0.0,PGE_valley
8,battery1,105,0.0,PGE_valley
9,battery1,106,0.0,PGE_valley
10,battery1,107,0.0,PGE_valley
11,battery1,108,0.0,PGE_valley
12,battery1,109,0.0,PGE_valley
13,battery1,110,0.0,PGE_valley
14,battery1,111,0.0,PGE_valley
15,battery1,112,0.0,PGE_valley
16,battery1,113,0.0,PGE_valley
17,battery1,114,0.0,PGE_valley
18,battery1,115,0.0,PGE_valley
19,battery1,116,0.0,PGE_valley
20,battery1,117,0.0,PGE_valley
21,battery1,118,0.0,PGE_valley
22,battery1,119,0.0,PGE_valley
23,battery1,120,0.0,PGE_valley
24,battery2,97,0.0,PGE_bay
25,battery2,98,0.0,PGE_bay
26,battery2,99,0.0,PGE_bay
27,battery2,100,0.0,PGE_bay
28,battery2,101,0.0,PGE_bay
29,battery2,102,0.0,PGE_bay
30,battery2,103,0.0,PGE_bay
31,battery2,104,0.0,PGE_bay
32,battery2,105,0.0,PGE_bay
33,battery2,106,0.0,PGE_bay
34,battery2,107,0.0,PGE_bay
35,battery2,108,0.0,PGE_bay
36,battery2,109,0.0,PGE_bay
37,battery2,110,0.0,PGE_bay
38,battery2,111,0.0,PGE_bay
39,battery2,112,0.0,PGE_bay
40,battery2,113,0.0,PGE_bay
41,battery2,114,0.0,PGE_bay
42,battery2,115,0.0,PGE_bay
43,battery2,116,0.0,PGE_bay
44,battery2,117,0.0,PGE_bay
45,battery2,118,0.0,PGE_bay
46,battery2,119,0.0,PGE_bay
47,battery2,120,0.0,PGE_bay
48,battery3,97,0.0,SCE
49,battery3,98,0.0,SCE
50,battery3,99,0.0,SCE
51,battery3,100,0.0,SCE
52,battery3,101,0.0,SCE
53,battery3,102,0.0,SCE
54,battery3,103,0.0,SCE
55,battery3,104,0.0,SCE
56,battery3,105,0.0,SCE
57,battery3,106,198.50351557044016,SCE
58,battery3,107,397.0070311408803,SCE
59,battery3,108,572.1571919383275,SCE
60,battery3,109,770.6607075087677,SCE
61,battery3,110,969.1642230792079,SCE
62,battery3,111,1167.667738649648,SCE
63,battery3,112,1167.667738649648,SCE
64,battery3,113,250.58746094416153,SCE
65,battery3,114,6.074458470818077,SCE
66,battery3,115,0.0,SCE
67,battery3,116,0.0,SCE
68,battery3,117,0.0,SCE
69,battery3,118,0.0,SCE
70,battery3,119,0.0,SCE
71,battery3,120,0.0,SCE
72,battery4,97,0.0,SDGE
73,battery4,98,0.0,SDGE
74,battery4,99,0.0,SDGE
75,battery4,100,0.0,SDGE
76,battery4,101,0.0,SDGE
77,battery4,102,0.0,SDGE
78,battery4,103,0.0,SDGE
79,battery4,104,0.0,SDGE
80,battery4,105,0.0,SDGE
81,battery4,106,149.60079661781958,SDGE
82,battery4,107,299.20159323563917,SDGE
83,battery4,108,448.80238985345875,SDGE
84,battery4,109,598.4031864712783,SDGE
85,battery4,110,748.0039830890979,SDGE
86,battery4,111,880.004685987174,SDGE
87,battery4,112,880.004685987174,SDGE
88,battery4,113,880.004685987174,SDGE
89,battery4,114,697.9881878700176,SDGE
90,battery4,115,359.51727151935273,SDGE
91,battery4,116,42.68791667921215,SDGE
92,battery4,117,0.0,SDGE
93,battery4,118,0.0,SDGE
94,battery4,119,0.0,SDGE
95,battery4,120,0.0,SDGE
