,Source,Sink,Time,Value
0,PGE_valley,PGE_valley,1,0.0
1,PGE_valley,PGE_valley,2,0.0
2,PGE_valley,PGE_valley,3,0.0
3,PGE_valley,PGE_valley,4,0.0
4,PGE_valley,PGE_valley,5,0.0
5,PGE_valley,PGE_valley,6,0.0
6,PGE_valley,PGE_valley,7,0.0
7,PGE_valley,PGE_valley,8,0.0
8,PGE_valley,PGE_valley,9,0.0
9,PGE_valley,PGE_valley,10,0.0
10,PGE_valley,PGE_valley,11,0.0
11,PGE_valley,PGE_valley,12,0.0
12,PGE_valley,PGE_valley,13,0.0
13,PGE_valley,PGE_valley,14,0.0
14,PGE_valley,PGE_valley,15,0.0
15,PGE_valley,PGE_valley,16,0.0
16,PGE_valley,PGE_valley,17,0.0
17,PGE_valley,PGE_valley,18,0.0
18,PGE_valley,PGE_valley,19,0.0
19,PGE_valley,PGE_valley,20,0.0
20,PGE_valley,PGE_valley,21,0.0
21,PGE_valley,PGE_valley,22,0.0
22,PGE_valley,PGE_valley,23,0.0
23,PGE_valley,PGE_valley,24,0.0
24,PGE_valley,SDGE,1,0.0
25,PGE_valley,SDGE,2,0.0
26,PGE_valley,SDGE,3,0.0
27,PGE_valley,SDGE,4,0.0
28,PGE_valley,SDGE,5,0.0
29,PGE_valley,SDGE,6,0.0
30,PGE_valley,SDGE,7,0.0
31,PGE_valley,SDGE,8,0.0
32,PGE_valley,SDGE,9,0.0
33,PGE_valley,SDGE,10,0.0
34,PGE_valley,SDGE,11,0.0
35,PGE_valley,SDGE,12,0.0
36,PGE_valley,SDGE,13,0.0
37,PGE_valley,SDGE,14,0.0
38,PGE_valley,SDGE,15,0.0
39,PGE_valley,SDGE,16,0.0
40,PGE_valley,SDGE,17,0.0
41,PGE_valley,SDGE,18,0.0
42,PGE_valley,SDGE,19,0.0
43,PGE_valley,SDGE,20,0.0
44,PGE_valley,SDGE,21,0.0
45,PGE_valley,SDGE,22,0.0
46,PGE_valley,SDGE,23,0.0
47,PGE_valley,SDGE,24,0.0
48,PGE_valley,SCE,1,0.0
