,Generator,Time,Value,Zones
0,battery1,673,0.0,PGE_valley
1,battery1,674,0.0,PGE_valley
2,battery1,675,0.0,PGE_valley
3,battery1,676,0.0,PGE_valley
4,battery1,677,0.0,PGE_valley
5,battery1,678,0.0,PGE_valley
6,battery1,679,0.0,PGE_valley
7,battery1,680,0.0,PGE_valley
8,battery1,681,0.0,PGE_valley
9,battery1,682,143.27974847467553,PGE_valley
10,battery1,683,305.6634634126409,PGE_valley
11,battery1,684,468.04717835060626,PGE_valley
12,battery1,685,630.4308932885716,PGE_valley
13,battery1,686,792.814608226537,PGE_valley
14,battery1,687,955.1983231645023,PGE_valley
15,battery1,688,955.1983231645023,PGE_valley
16,battery1,689,532.2670937897193,PGE_valley
17,battery1,690,532.2670937897193,PGE_valley
18,battery1,691,532.2670937897193,PGE_valley
19,battery1,692,532.2670937897193,PGE_valley
20,battery1,693,532.2670937897193,PGE_valley
21,battery1,694,532.2670937897193,PGE_valley
22,battery1,695,694.6508087276846,PGE_valley
23,battery1,696,857.03452366565,PGE_valley
24,battery2,673,553.2671168743684,PGE_bay
25,battery2,674,553.2671168743684,PGE_bay
26,battery2,675,553.2671168743684,PGE_bay
27,battery2,676,648.3274992824206,PGE_bay
28,battery2,677,792.3828612673212,PGE_bay
29,battery2,678,801.6641135572802,PGE_bay
30,battery2,679,801.6641135572802,PGE_bay
31,battery2,680,1165.0287270173658,PGE_bay
32,battery2,681,1605.1379778568805,PGE_bay
33,battery2,682,2026.8624797043258,PGE_bay
34,battery2,683,2438.947886463935,PGE_bay
35,battery2,684,2876.035510779723,PGE_bay
36,battery2,685,3347.8543445590276,PGE_bay
37,battery2,686,3860.849409319462,PGE_bay
38,battery2,687,4344.749026407151,PGE_bay
39,battery2,688,4781.912266585928,PGE_bay
40,battery2,689,4575.340839990295,PGE_bay
41,battery2,690,2324.2481896478635,PGE_bay
42,battery2,691,242.20756252013462,PGE_bay
43,battery2,692,242.20756252013462,PGE_bay
44,battery2,693,242.20756252013462,PGE_bay
45,battery2,694,242.20756252013462,PGE_bay
46,battery2,695,641.4515738720539,PGE_bay
47,battery2,696,641.4515738720539,PGE_bay
48,battery3,673,979.7495412273158,SCE
49,battery3,674,979.7495412273158,SCE
50,battery3,675,677.627183933972,SCE
51,battery3,676,677.627183933972,SCE
52,battery3,677,677.627183933972,SCE
53,battery3,678,677.627183933972,SCE
54,battery3,679,0.0,SCE
55,battery3,680,0.0,SCE
56,battery3,681,0.0,SCE
57,battery3,682,397.74308602234765,SCE
58,battery3,683,848.518583514342,SCE
59,battery3,684,1299.2940810063365,SCE
60,battery3,685,1750.0695784983309,SCE
61,battery3,686,2200.8450759903253,SCE
62,battery3,687,2651.6205734823197,SCE
63,battery3,688,2651.6205734823197,SCE
64,battery3,689,2651.6205734823197,SCE
65,battery3,690,2651.6205734823197,SCE
66,battery3,691,2553.730053687249,SCE
67,battery3,692,2553.730053687249,SCE
68,battery3,693,2553.730053687249,SCE
69,battery3,694,2553.730053687249,SCE
70,battery3,695,2553.730053687249,SCE
71,battery3,696,2553.730053687249,SCE
72,battery4,673,0.0,SDGE
73,battery4,674,0.0,SDGE
74,battery4,675,0.0,SDGE
75,battery4,676,0.0,SDGE
76,battery4,677,0.0,SDGE
77,battery4,678,0.0,SDGE
78,battery4,679,0.0,SDGE
79,battery4,680,0.0,SDGE
80,battery4,681,0.0,SDGE
81,battery4,682,339.72382467284865,SDGE
82,battery4,683,679.4476493456973,SDGE
83,battery4,684,679.4476493456973,SDGE
84,battery4,685,979.203965233505,SDGE
85,battery4,686,1318.9277899063536,SDGE
86,battery4,687,1658.6516145792023,SDGE
87,battery4,688,1998.375439252051,SDGE
88,battery4,689,1998.375439252051,SDGE
89,battery4,690,1544.2347875650537,SDGE
90,battery4,691,1439.8582929003935,SDGE
91,battery4,692,1204.891891252267,SDGE
92,battery4,693,1028.9919795984376,SDGE
93,battery4,694,986.328873505448,SDGE
94,battery4,695,986.3288735054479,SDGE
95,battery4,696,986.3288735054479,SDGE
