,Source,Sink,Time,Value
0,PGE_valley,PGE_valley,1,0.0
1,PGE_valley,PGE_valley,2,0.0
2,PGE_valley,PGE_valley,3,0.0
3,PGE_valley,PGE_valley,4,0.0
4,PGE_valley,PGE_valley,5,0.0
5,PGE_valley,PGE_valley,6,0.0
6,PGE_valley,PGE_valley,7,0.0
7,PGE_valley,PGE_valley,8,0.0
8,PGE_valley,PGE_valley,9,0.0
9,PGE_valley,PGE_valley,10,0.0
10,PGE_valley,PGE_valley,11,0.0
11,PGE_valley,PGE_valley,12,0.0
12,PGE_valley,PGE_valley,13,0.0
13,PGE_valley,PGE_valley,14,0.0
14,PGE_valley,PGE_valley,15,0.0
15,PGE_valley,PGE_valley,16,0.0
16,PGE_valley,PGE_valley,17,0.0
17,PGE_valley,PGE_valley,18,0.0
18,PGE_valley,PGE_valley,19,0.0
19,PGE_valley,PGE_valley,20,0.0
20,PGE_valley,PGE_valley,21,0.0
21,PGE_valley,PGE_valley,22,0.0
22,PGE_valley,PGE_valley,23,0.0
23,PGE_valley,PGE_valley,24,0.0
24,PGE_valley,PGE_bay,1,0.0
25,PGE_valley,PGE_bay,2,2979.7070282407067
26,PGE_valley,PGE_bay,3,2775.939277368611
27,PGE_valley,PGE_bay,4,2671.7121445147886
28,PGE_valley,PGE_bay,5,2678.5896654399257
29,PGE_valley,PGE_bay,6,2692.205118204531
30,PGE_valley,PGE_bay,7,2742.978279920867
31,PGE_valley,PGE_bay,8,3093.0246023306777
32,PGE_valley,PGE_bay,9,3307.6556760446865
33,PGE_valley,PGE_bay,10,3432.3124874197856
34,PGE_valley,PGE_bay,11,4044.788840986681
35,PGE_valley,PGE_bay,12,3973.0604690956707
36,PGE_valley,PGE_bay,13,3931.8017724976817
37,PGE_valley,PGE_bay,14,3824.653443935243
38,PGE_valley,PGE_bay,15,3373.2801392066413
39,PGE_valley,PGE_bay,16,3457.3506670199586
40,PGE_valley,PGE_bay,17,3327.479939261605
41,PGE_valley,PGE_bay,18,3646.756767895278
