,0
0,10747244.424848154
1,12286493.949670292
2,10906123.846375624
3,9371890.653305072
4,10172297.486889288
5,8180959.661252271
6,8700713.808429368
7,9220302.32850096
8,7037698.289152161
9,9458391.134492995
10,9438019.91542907
11,10514883.415919375
12,9958207.928629851
13,9249565.58628803
14,9350586.503730314
15,8602919.312371414
16,8527360.45379814
17,8030772.455532981
18,10194499.872042045
19,7483602.724800198
20,7172005.97095781
21,9678026.55809654
22,9516642.156415852
23,9840201.627069656
24,8700814.144100212
25,7322071.431979452
26,6385290.321410613
27,7200346.395009549
28,8609150.051992448
