,Constraint,Time,Value
0,Bal1Constraint,1,33.366800000000005
1,Bal1Constraint,2,33.366800000000005
2,Bal1Constraint,3,33.366800000000005
3,Bal1Constraint,4,33.366800000000005
4,Bal1Constraint,5,33.366800000000005
5,Bal1Constraint,6,33.366800000000005
6,Bal1Constraint,7,33.3668
7,Bal1Constraint,8,33.366800000000005
8,Bal1Constraint,9,33.366800000000005
9,Bal1Constraint,10,33.366800000000005
10,Bal1Constraint,11,9.97
11,Bal1Constraint,12,9.97
12,Bal1Constraint,13,9.97
13,Bal1Constraint,14,22.482400000000013
14,Bal1Constraint,15,32.3832
15,Bal1Constraint,16,32.3832
16,Bal1Constraint,17,36.5822
17,Bal1Constraint,18,35.319
18,Bal1Constraint,19,41.0508
19,Bal1Constraint,20,41.0508
20,Bal1Constraint,21,39.19180000000001
21,Bal1Constraint,22,39.1531
22,Bal1Constraint,23,38.586
23,Bal1Constraint,24,35.1792
24,Bal2Constraint,1,29.8202
25,Bal2Constraint,2,33.366800000000005
26,Bal2Constraint,3,33.366800000000005
27,Bal2Constraint,4,33.366800000000005
28,Bal2Constraint,5,33.366800000000005
29,Bal2Constraint,6,33.366800000000005
30,Bal2Constraint,7,33.3668
31,Bal2Constraint,8,33.366800000000005
32,Bal2Constraint,9,33.366800000000005
33,Bal2Constraint,10,33.366800000000005
34,Bal2Constraint,11,9.97
35,Bal2Constraint,12,9.97
36,Bal2Constraint,13,9.97
37,Bal2Constraint,14,22.482400000000013
38,Bal2Constraint,15,32.3832
39,Bal2Constraint,16,32.3832
40,Bal2Constraint,17,36.5822
41,Bal2Constraint,18,35.319
42,Bal2Constraint,19,41.0508
43,Bal2Constraint,20,41.0508
44,Bal2Constraint,21,39.19180000000001
45,Bal2Constraint,22,39.1531
46,Bal2Constraint,23,38.586
47,Bal2Constraint,24,35.1792
48,Bal3Constraint,1,39.076800000000006
49,Bal3Constraint,2,39.076800000000006
50,Bal3Constraint,3,39.076800000000006
51,Bal3Constraint,4,39.076800000000006
52,Bal3Constraint,5,39.076800000000006
53,Bal3Constraint,6,39.076800000000006
54,Bal3Constraint,7,39.0768
55,Bal3Constraint,8,38.29639999999999
56,Bal3Constraint,9,29.825375000000008
57,Bal3Constraint,10,23.406800000000004
58,Bal3Constraint,11,0.01
59,Bal3Constraint,12,0.01
60,Bal3Constraint,13,0.01
61,Bal3Constraint,14,12.522400000000005
62,Bal3Constraint,15,28.0601
63,Bal3Constraint,16,36.4268
64,Bal3Constraint,17,42.2922
65,Bal3Constraint,18,41.029
66,Bal3Constraint,19,46.7608
67,Bal3Constraint,20,46.7608
68,Bal3Constraint,21,44.90180000000001
69,Bal3Constraint,22,44.8631
70,Bal3Constraint,23,44.296
71,Bal3Constraint,24,40.8892
72,Bal4Constraint,1,37.1342
73,Bal4Constraint,2,39.458600000000004
74,Bal4Constraint,3,39.458600000000004
75,Bal4Constraint,4,39.458600000000004
76,Bal4Constraint,5,39.511100000000006
77,Bal4Constraint,6,39.458600000000004
78,Bal4Constraint,7,39.458600000000004
79,Bal4Constraint,8,39.458600000000004
80,Bal4Constraint,9,38.29639999999999
81,Bal4Constraint,10,33.366800000000005
82,Bal4Constraint,11,0.01
83,Bal4Constraint,12,0.01
84,Bal4Constraint,13,0.01
85,Bal4Constraint,14,6.812400000000005
86,Bal4Constraint,15,37.1342
87,Bal4Constraint,16,38.6618
88,Bal4Constraint,17,47.3258
89,Bal4Constraint,18,50.989000000000004
90,Bal4Constraint,19,56.720800000000004
91,Bal4Constraint,20,56.720800000000004
92,Bal4Constraint,21,54.86180000000001
93,Bal4Constraint,22,54.823100000000004
94,Bal4Constraint,23,54.256
95,Bal4Constraint,24,50.8492
96,Bal1Constraint,25,47.3258
97,Bal1Constraint,26,47.3258
98,Bal1Constraint,27,47.3258
99,Bal1Constraint,28,47.3258
100,Bal1Constraint,29,47.3258
101,Bal1Constraint,30,47.3258
102,Bal1Constraint,31,47.3258
103,Bal1Constraint,32,47.3258
104,Bal1Constraint,33,46.655
105,Bal1Constraint,34,27.9146
106,Bal1Constraint,35,9.97
107,Bal1Constraint,36,9.97
108,Bal1Constraint,37,9.97
109,Bal1Constraint,38,28.520400000000002
110,Bal1Constraint,39,39.1823
111,Bal1Constraint,40,39.8858
112,Bal1Constraint,41,54.76579999999994
113,Bal1Constraint,42,47.325800000000015
114,Bal1Constraint,43,47.325800000000015
115,Bal1Constraint,44,47.325800000000015
116,Bal1Constraint,45,47.325800000000015
117,Bal1Constraint,46,47.32580000000002
118,Bal1Constraint,47,47.3258
119,Bal1Constraint,48,47.3258
120,Bal2Constraint,25,47.3258
121,Bal2Constraint,26,47.3258
122,Bal2Constraint,27,47.3258
123,Bal2Constraint,28,47.3258
124,Bal2Constraint,29,47.3258
125,Bal2Constraint,30,47.3258
126,Bal2Constraint,31,47.3258
127,Bal2Constraint,32,47.3258
128,Bal2Constraint,33,46.655
129,Bal2Constraint,34,27.9146
130,Bal2Constraint,35,9.97
131,Bal2Constraint,36,9.97
132,Bal2Constraint,37,9.97
133,Bal2Constraint,38,28.520400000000002
134,Bal2Constraint,39,39.1823
135,Bal2Constraint,40,39.8858
136,Bal2Constraint,41,54.76579999999994
137,Bal2Constraint,42,47.325800000000015
138,Bal2Constraint,43,47.325800000000015
139,Bal2Constraint,44,47.325800000000015
140,Bal2Constraint,45,47.325800000000015
141,Bal2Constraint,46,47.32580000000002
142,Bal2Constraint,47,47.3258
143,Bal2Constraint,48,47.3258
144,Bal3Constraint,25,53.0358
145,Bal3Constraint,26,53.0358
146,Bal3Constraint,27,53.0358
147,Bal3Constraint,28,53.0358
148,Bal3Constraint,29,51.8736
149,Bal3Constraint,30,53.0358
150,Bal3Constraint,31,53.0358
151,Bal3Constraint,32,50.7114
152,Bal3Constraint,33,36.695
153,Bal3Constraint,34,17.9546
154,Bal3Constraint,35,0.01
155,Bal3Constraint,36,0.01
156,Bal3Constraint,37,0.01
157,Bal3Constraint,38,18.5604
158,Bal3Constraint,39,29.222299999999997
159,Bal3Constraint,40,36.4268
160,Bal3Constraint,41,60.47579999999994
161,Bal3Constraint,42,53.03580000000002
162,Bal3Constraint,43,53.03580000000002
163,Bal3Constraint,44,53.03580000000002
164,Bal3Constraint,45,53.03580000000002
165,Bal3Constraint,46,53.03580000000002
166,Bal3Constraint,47,53.0358
167,Bal3Constraint,48,53.0358
168,Bal4Constraint,25,47.3258
169,Bal4Constraint,26,47.3258
170,Bal4Constraint,27,47.3258
171,Bal4Constraint,28,47.3258
172,Bal4Constraint,29,46.1636
173,Bal4Constraint,30,47.3258
174,Bal4Constraint,31,47.3258
175,Bal4Constraint,32,45.0014
176,Bal4Constraint,33,37.8572
177,Bal4Constraint,34,12.244599999999998
178,Bal4Constraint,35,0.01
179,Bal4Constraint,36,0.01
180,Bal4Constraint,37,0.01
181,Bal4Constraint,38,12.8504
182,Bal4Constraint,39,37.8572
183,Bal4Constraint,40,37.8572
184,Bal4Constraint,41,54.76579999999994
185,Bal4Constraint,42,62.995800000000024
186,Bal4Constraint,43,62.995800000000024
187,Bal4Constraint,44,62.995800000000024
188,Bal4Constraint,45,62.995800000000024
189,Bal4Constraint,46,62.995800000000024
190,Bal4Constraint,47,62.9958
191,Bal4Constraint,48,62.9958
192,Bal1Constraint,49,0.5
193,Bal1Constraint,50,0.0
194,Bal1Constraint,51,-0.0
195,Bal1Constraint,52,0.0
196,Bal1Constraint,53,0.0
197,Bal1Constraint,54,0.0
198,Bal1Constraint,55,0.0
199,Bal1Constraint,56,0.0
200,Bal1Constraint,57,0.0
201,Bal1Constraint,58,0.0
202,Bal1Constraint,59,0.0
203,Bal1Constraint,60,0.0
204,Bal1Constraint,61,0.0
205,Bal1Constraint,62,-0.0
206,Bal1Constraint,63,-0.0
207,Bal1Constraint,64,0.0
208,Bal1Constraint,65,0.0
209,Bal1Constraint,66,-0.0
210,Bal1Constraint,67,3.0
211,Bal1Constraint,68,1.0
212,Bal1Constraint,69,1.0
213,Bal1Constraint,70,1.0
214,Bal1Constraint,71,1.0
215,Bal1Constraint,72,0.5
216,Bal2Constraint,49,0.5
217,Bal2Constraint,50,0.0
218,Bal2Constraint,51,0.0
219,Bal2Constraint,52,0.0
220,Bal2Constraint,53,0.0
221,Bal2Constraint,54,0.0
222,Bal2Constraint,55,0.0
223,Bal2Constraint,56,0.0
224,Bal2Constraint,57,0.0
225,Bal2Constraint,58,0.0
226,Bal2Constraint,59,0.0
227,Bal2Constraint,60,0.0
228,Bal2Constraint,61,0.0
229,Bal2Constraint,62,0.0
230,Bal2Constraint,63,0.0
231,Bal2Constraint,64,0.0
232,Bal2Constraint,65,0.0
233,Bal2Constraint,66,0.0
234,Bal2Constraint,67,3.0
235,Bal2Constraint,68,1.0
236,Bal2Constraint,69,1.0
237,Bal2Constraint,70,1.0
238,Bal2Constraint,71,1.0
239,Bal2Constraint,72,0.5
240,Bal3Constraint,49,0.5
241,Bal3Constraint,50,0.0
242,Bal3Constraint,51,0.0
243,Bal3Constraint,52,0.0
244,Bal3Constraint,53,0.0
245,Bal3Constraint,54,0.0
246,Bal3Constraint,55,0.0
247,Bal3Constraint,56,0.0
248,Bal3Constraint,57,-0.0
249,Bal3Constraint,58,0.0
250,Bal3Constraint,59,0.0
251,Bal3Constraint,60,0.0
252,Bal3Constraint,61,0.0
253,Bal3Constraint,62,-0.0
254,Bal3Constraint,63,-0.0
255,Bal3Constraint,64,-0.0
256,Bal3Constraint,65,0.0
257,Bal3Constraint,66,0.0
258,Bal3Constraint,67,3.0
259,Bal3Constraint,68,1.0
260,Bal3Constraint,69,1.0
261,Bal3Constraint,70,1.0
262,Bal3Constraint,71,1.0
263,Bal3Constraint,72,0.5
264,Bal4Constraint,49,0.5
265,Bal4Constraint,50,-0.0
266,Bal4Constraint,51,-0.0
267,Bal4Constraint,52,-0.0
268,Bal4Constraint,53,0.0
269,Bal4Constraint,54,0.0
270,Bal4Constraint,55,-0.0
271,Bal4Constraint,56,0.0
272,Bal4Constraint,57,0.0
273,Bal4Constraint,58,-0.0
274,Bal4Constraint,59,0.0
275,Bal4Constraint,60,0.0
276,Bal4Constraint,61,0.0
277,Bal4Constraint,62,-0.0
278,Bal4Constraint,63,0.0
279,Bal4Constraint,64,-0.0
280,Bal4Constraint,65,-0.0
281,Bal4Constraint,66,-0.0
282,Bal4Constraint,67,3.0
283,Bal4Constraint,68,1.0
284,Bal4Constraint,69,1.0
285,Bal4Constraint,70,1.0
286,Bal4Constraint,71,1.0
287,Bal4Constraint,72,0.5
288,Bal1Constraint,73,32.3832
289,Bal1Constraint,74,32.3832
290,Bal1Constraint,75,32.3832
291,Bal1Constraint,76,32.3832
292,Bal1Constraint,77,32.3832
293,Bal1Constraint,78,32.3832
294,Bal1Constraint,79,32.3832
295,Bal1Constraint,80,32.3832
296,Bal1Constraint,81,15.138780000000002
297,Bal1Constraint,82,9.97
298,Bal1Constraint,83,0.01
299,Bal1Constraint,84,0.01
300,Bal1Constraint,85,0.01
301,Bal1Constraint,86,0.01
302,Bal1Constraint,87,0.01
303,Bal1Constraint,88,32.2434
304,Bal1Constraint,89,43.420500000000004
305,Bal1Constraint,90,43.420500000000004
306,Bal1Constraint,91,37.6024
307,Bal1Constraint,92,37.6024
308,Bal1Constraint,93,43.420500000000004
309,Bal1Constraint,94,38.259800000000006
310,Bal1Constraint,95,34.784499999999994
311,Bal1Constraint,96,32.4814
312,Bal2Constraint,73,32.3832
313,Bal2Constraint,74,32.3832
314,Bal2Constraint,75,32.3832
315,Bal2Constraint,76,32.3832
316,Bal2Constraint,77,32.3832
317,Bal2Constraint,78,32.3832
318,Bal2Constraint,79,32.3832
319,Bal2Constraint,80,32.3832
320,Bal2Constraint,81,15.138780000000002
321,Bal2Constraint,82,9.97
322,Bal2Constraint,83,0.01
323,Bal2Constraint,84,0.01
324,Bal2Constraint,85,0.01
325,Bal2Constraint,86,0.01
326,Bal2Constraint,87,0.01
327,Bal2Constraint,88,32.2434
328,Bal2Constraint,89,43.420500000000004
329,Bal2Constraint,90,43.420500000000004
330,Bal2Constraint,91,37.6024
331,Bal2Constraint,92,37.6024
332,Bal2Constraint,93,43.420500000000004
333,Bal2Constraint,94,38.259800000000006
334,Bal2Constraint,95,34.784499999999994
335,Bal2Constraint,96,32.4814
336,Bal3Constraint,73,38.0932
337,Bal3Constraint,74,38.0932
338,Bal3Constraint,75,38.0932
339,Bal3Constraint,76,38.0932
340,Bal3Constraint,77,38.0932
341,Bal3Constraint,78,38.0932
342,Bal3Constraint,79,38.0932
343,Bal3Constraint,80,38.0932
344,Bal3Constraint,81,5.1787800000000015
