,Generator,Time,Value,Zones
0,battery5,8713,0.0,PNW
1,battery5,8714,0.0,PNW
2,battery5,8715,0.0,PNW
3,battery5,8716,0.0,PNW
4,battery5,8717,0.0,PNW
5,battery5,8718,0.0,PNW
6,battery5,8719,0.0,PNW
7,battery5,8720,0.0,PNW
8,battery5,8721,0.0,PNW
9,battery5,8722,0.0,PNW
10,battery5,8723,0.0,PNW
11,battery5,8724,0.0,PNW
12,battery5,8725,0.0,PNW
13,battery5,8726,0.0,PNW
14,battery5,8727,0.0,PNW
15,battery5,8728,1596.640417246343,PNW
16,battery5,8729,173.682878669086,PNW
17,battery5,8730,0.0,PNW
18,battery5,8731,0.0,PNW
19,battery5,8732,1235.1174894894502,PNW
20,battery5,8733,1596.640417246343,PNW
21,battery5,8734,1596.640417246343,PNW
22,battery5,8735,1596.640417246343,PNW
23,battery5,8736,1596.640417246343,PNW
24,battery5,8737,0.0,PNW
25,battery5,8738,0.0,PNW
26,battery5,8739,0.0,PNW
27,battery5,8740,0.0,PNW
28,battery5,8741,0.0,PNW
29,battery5,8742,0.0,PNW
30,battery5,8743,0.0,PNW
31,battery5,8744,0.0,PNW
32,battery5,8745,0.0,PNW
33,battery5,8746,0.0,PNW
34,battery5,8747,0.0,PNW
35,battery5,8748,0.0,PNW
36,battery5,8749,0.0,PNW
37,battery5,8750,0.0,PNW
38,battery5,8751,0.0,PNW
39,battery5,8752,0.0,PNW
40,battery5,8753,0.0,PNW
41,battery5,8754,0.0,PNW
42,battery5,8755,0.0,PNW
43,battery5,8756,0.0,PNW
44,battery5,8757,0.0,PNW
45,battery5,8758,0.0,PNW
46,battery5,8759,0.0,PNW
47,battery5,8760,0.0,PNW
