,Generator,Time,Value,Zones
0,battery5,8713,0.0,PNW
1,battery5,8714,0.0,PNW
2,battery5,8715,0.0,PNW
3,battery5,8716,0.0,PNW
4,battery5,8717,0.0,PNW
5,battery5,8718,0.0,PNW
6,battery5,8719,0.0,PNW
7,battery5,8720,0.0,PNW
8,battery5,8721,0.0,PNW
9,battery5,8722,0.0,PNW
10,battery5,8723,0.0,PNW
11,battery5,8724,0.0,PNW
12,battery5,8725,0.0,PNW
13,battery5,8726,0.0,PNW
14,battery5,8727,0.0,PNW
15,battery5,8728,1357.1443546593916,PNW
16,battery5,8729,1504.7748015281147,PNW
17,battery5,8730,1504.7748015281147,PNW
18,battery5,8731,1504.7748015281147,PNW
19,battery5,8732,2554.6246675941475,PNW
20,battery5,8733,3911.7690222535393,PNW
21,battery5,8734,5268.913376912931,PNW
22,battery5,8735,6626.057731572323,PNW
23,battery5,8736,7983.202086231715,PNW
